date,username,hashtags,tweet
2022-08-06,boznjerz,[],"@POTUS Why isn't CNN etc BOMBARDING viewers with Ways to Avoid getting and Spreading MONKEYPOX? No touching, Soap&amp;Water, Hand Sanitizer, Condoms, avoid ORGYS So Simple.  Add No amount of Masks prevent spread."
2022-08-06,lippityliplip,[],@Adonna55 @BeingCharisBlog Hypochlorous acid is good for killing monkeypox also and is safe for foods &amp; surfaces and around animals. Non toxic and break down into saline. 200 ppm or higher concentration is recommended for quickest efficacy. They are readily available online and don't have a strong odor.
2022-08-06,akyajur,[],"SHOCK!! ""A new Lancet study suggests that monkeypox could be a sexually transmitted disease""    https://t.co/yRFdKjbYix"
2022-08-06,brought_to_you,[],"Monkeypox is disproportionately affecting Black, Hispanic people, latest CDC breakdown shows  https://t.co/gNIWEzptyK"
2022-08-06,moealaama,[],i saw a pic of what monkey pox does and i turned into boosie 🏳️‍🌈🚫
2022-08-06,socflyny,[],@misstessowen Perhaps they haven't heard of monkeypox yet? 🤔  What a shame it would be if CPAC became ground zero. 🤭
2022-08-06,deeneeday,[],@patriottakes Betcha he gets the monkeypox
2022-08-06,dianero99500297,[],@WOWT6News Trying to cover up covid vaccine injuries claiming the auto immune blistering sore side effects are monkey pox rebranding
2022-08-06,gee_oni,[],Linking COVID-19 vaccine with Monkeypox: Busting the myths  https://t.co/Nw0LP82AQk
2022-08-06,rogerra09234150,[],We know what causes it. Just have individuals wear a mask and follow the guide.  Monkeypox Guide  https://t.co/o6r6t275fW
2022-08-06,alberto5657,[],@whatsuptucson And that kids is how monkey pox became a problem.
2022-08-06,theasthmacures,[],"Missouri LGBTQ advocacates urge more robust monkeypox response |  https://t.co/J8wAWRqwfC  https://t.co/0bKUde993j ""We need access to those vaccines, starting with those who are immunocompromised and marginalized populations of individuals is the way to stop ..."
2022-08-06,theasthmacures,[],"Why Monkeypox Vaccine Shortage May Threaten the Immunocompromised - 180Gadgets  https://t.co/56z2y8XnTt Even two weeks after the shot, when the antibody response is underway, immunocompromised individuals nonetheless might must “use all other ..."
2022-08-06,theasthmacures,[],"VERIFY: You must get a second dose of the monkeypox vaccine to be fully protected - KHOU  https://t.co/9ep2PrA0GV That is a two-dose regimen that is safe in immunocompromised individuals. There is an older smallpox vaccine called AKM 2000, which is also effective ..."
2022-08-06,im_haiderali,[],CDC issues monkeypox ‘safe sex’ guide —  https://t.co/gW1tZqgwsx  https://t.co/58xBD8Ugb9
2022-08-06,theasthmacures,[],"No monkeypox in Mendocino County yet, officials ramp up prevention efforts  https://t.co/amzyI8SYmR Mendocino County received a small number of monkeypox vaccines intended for immunocompromised individuals and others who are at high risk for ..."
2022-08-06,datsjustjefe,[],Ain’t NOBODY said Monkey Pox ain’t real 🤣 Covid said “ Dat’ll teach em” 🤣🤣🤣🤣🤣 sorry that was kinda dark 😂😂😂😂
2022-08-06,theasthmacures,[],"Why Monkeypox Vaccine Shortage May Threaten the Immunocompromised  https://t.co/LgjGRfMLkH Even two weeks after the shot, when the antibody response is underway, immunocompromised individuals nonetheless could have to “use all different ..."
2022-08-06,theasthmacures,[],"Why Monkeypox Vaccine Shortage May Threaten the Immunocompromised - Quick Telecast  https://t.co/87CKrFWkHP The shortfall of monkeypox vaccine doses in the United States, expected to last for months, is raising urgent questions about how well and for how ..."
2022-08-06,theasthmacures,[],Centre looks to update monkeypox guidelines - Mint  https://t.co/D7Ob7dtmnG Although the reported cases worldwide have been in high-risk population and people may be immunocompromised because of HIV infection.
2022-08-06,theasthmacures,[],"Why Monkeypox Vaccine Shortage May Threaten the Immunocompromised - News Tinger  https://t.co/zDlQ8LMYOX Even two weeks after the shot, when the antibody response is underway, immunocompromised individuals nonetheless might have to “use all different ..."
2022-08-06,informacija,[],All monkeypox cases in Lithuania traced to Germany   https://t.co/wjOzCnCOug
2022-08-06,stigmabase,[],"Fighting Stigma — Advocates say monkeypox is creating stigma against LGBTQ community | WCIV: He said the stigma is concerning. ""It almost re-ignites the trauma of the early HIV/AIDS epidemic where everyone referred to it as a gay disease.  https://t.co/NqZqqtYv7t"
2022-08-06,stigmabase,[],"Fighting Stigma — Dr. Fauci: Monkeypox response must be free of stigmas and 'bureaucratic hoops': ... in their shoes and say, how can we make it such that there is no stigma, or at least, a very strong alleviation of any potential stigma?  https://t.co/5oEm27nC7A"
2022-08-06,cyprusmail,[],Two more cases of monkeypox | Cyprus Mail  https://t.co/rtyJdpL1fM  https://t.co/BSKoDsDlAi
2022-08-06,denlesks,[],@NBCLA If Monkeypox is so bad why aren’t we seeing more dead monkeys?
2022-08-06,boznjerz,[],"@truckdriverpleb @CTV Why isn't CNN etc BOMBARDING viewers with Ways to Avoid getting and Spreading MONKEYPOX? No touching, Soap&amp;Water, Hand Sanitizer, Condoms, avoid ORGYS So Simple.  Add No amount of Masks prevent spread."
2022-08-06,eccovoz,[],"@DrMaDMo Especially since the origin of Monkeypox is from a lab from monkeys kept from research “Monkeypox virus (MPXV) was discovered in 1958 during an outbreak in an animal facility in Copenhagen, Denmark.” Like…the root of diseases has always been Europe"
2022-08-06,bigbroeff,[],"@ElijahSchaffer Stop it mate, you're gonna catch the monkey pox"
2022-08-06,redpoint511a,"['bced', 'hcw', 'monkeypox']",Do #bced postsecondary institutions that have student residence and on-site health clinics know if their #HCW staff have education on how to recognize #monkeypox? And a communication plan?   @UBC @SFU @UNBC @bcit @VIUniversity @uvic @OkanaganCollege @CDCofBC @Protect_BC
2022-08-06,1val1richy,[],"Monkeypox Vaccine.   As of July 29, 2022, a little over 300,000 doses have been shipped to points of care or administered, with another 700,000 already allocated to states across the U.S. However, demand is far outpacing supply.   https://t.co/wzYocDx17R"
2022-08-06,patrlclajm,[],oh this monkeypox shit definitely has me spooked hand sanitizing after every trip never using a public bathroom ever again like
2022-08-06,alysuhxo,[],Sooo monkey pox has me terrified so NO I will not help you match your foundation for the remainder of the year 🗣
2022-08-06,canberran10,[],"@DianadelaLuna @YouAreLobbyLud That's the thing, isn't it? Not at the moment, and not gloving with all patients, as monkeypox hasn't taken off here (have had just one case, from elsewhere, and none in the hospital). Feels like it's only a matter of time though. Would really like a vaccine before that time."
2022-08-06,acnetj,[],"@benryanwriter There's so much consistency: those who give monkeypox doomer takes are almost always those who give COVID doomer takes, and pretty much they want monkeypox to be COVID 2.0, with the kind of shock and awe like March 2020, &amp; insist to on NPIs like lockdown/masks."
2022-08-06,budfoxjr,"['monkeypox', 'tpoxx', 'siga', 'stockmarket', 'invest', 'investing']","I bought $SIGA in the single digits because of the strong fundamentals, but couldn’t imagine it running like it has the last couple of weeks  https://t.co/YrDMUrmFDc #monkeypox #TPOXX #siga #StockMarket #invest #investing"
2022-08-06,stevero40104467,[],@RNCResearch What's the betting line on when he announces he has monkey pox?
2022-08-06,perrabyte,['monkeypox'],#monkeypox - Free Food to prevent a pandemic. During some period we get free lemons and other important foods to innovate new treatments that stops pandemics. Very import measure cause a pandemic costs in the trillions. Request money for budget free food //Per
2022-08-06,boznjerz,[],"Why isn't CNN etc BOMBARDING viewers with Ways to Avoid getting and Spreading MONKEYPOX? No touching, Soap&amp;Water, Hand Sanitizer, Condoms, avoid ORGYS So Simple.  Add No amount of Masks prevent spread."
2022-08-06,ruddy_pink,[],monkeypox got me looking at my squita 🦟  bites a lil harder nbs 😂
