,user_created_at,user_screen_name,text,tweet_url,user_location,hashtags
12456,Wed Oct 16 06:12:46 +0000 2019,SalemJakes,"laid down after MONKEY POX tweet

got up to Biden launching  OPERATION FLY FORMULA 

WTH

WHEN  DID  FLYING  MONKEYS  ENTER",https://twitter.com/SalemJakes/status/1527070234900848641,Yooperland,
12457,Wed Oct 16 06:12:46 +0000 2019,SalemJakes,"MONKEY POX

*puts hazmat suit on, nails door shut*",https://twitter.com/SalemJakes/status/1527041818151505922,Yooperland,
12458,Wed Oct 16 16:40:02 +0000 2013,CfMatzke,@LeoThirteenth @TrailBum2 A monkey pox on all their houses.,https://twitter.com/CfMatzke/status/1527777846315274240,Alabama,
12459,Wed Oct 16 18:44:01 +0000 2013,chazzus,What the hell is a monkey pox,https://twitter.com/chazzus/status/1528132574715031553,,
12460,Wed Oct 16 18:46:55 +0000 2013,rosiedosietalk,I forgot that until now - They really think we are that Stupid to fall for what seems to be Chickenpox But renaming it Monkey pox - I’ll wait for them to match that truck with some new Vax news 🤦🏻‍♀️🤮🎯 https://t.co/l1gsPWdYhT,https://twitter.com/rosiedosietalk/status/1527396619456589827,,
12461,Wed Oct 16 20:52:20 +0000 2019,GeoffreyKeel,Wow monkey pox is NOT as cute as it sounds,https://twitter.com/GeoffreyKeel/status/1527010483395563523,"Cleveland, TN",
12462,Wed Oct 17 02:14:18 +0000 2012,tripgore,"Another reason I frequent this wonderful app, is for bonkers takes like ""the corona vax is really what's causing the monkey pox which is also shingles."" You're too young to remember this but you used to have to buy a paper called weekly world news for inspired crazy. https://t.co/cbMODMS2Si",https://twitter.com/tripgore/status/1528095803126038528,Montreal/Listuguj/Arizona,
12463,Wed Oct 17 02:31:07 +0000 2012,BonBee81,My God now @JoeBiden  Fauci and Gates are going to release monkey pox on us whatever the hell that is .,https://twitter.com/BonBee81/status/1527429790361436184,"Ohio, USA",
12464,Wed Oct 17 13:02:40 +0000 2012,RonFloser,Wtf is Monkey pox. Seriously what? That pic from last century and Africa.  Is this gonna be this year's Faucivid. I call bullshit...can you see it? https://t.co/RnY2dMTwlU,https://twitter.com/RonFloser/status/1527045232373780484,"Massachusetts, USA",
12465,Wed Oct 17 19:55:17 +0000 2012,LundanF,Wtf is Monkey pox,https://twitter.com/LundanF/status/1527066946373660673,"Atlanta, GA",
12466,Wed Oct 17 20:34:47 +0000 2012,WhipCreamOnMe,If monkey pox reach here i wouldn't even go out to buy stuff to eat. Because wdmc,https://twitter.com/WhipCreamOnMe/status/1528098187482890240,St. Lucia 🇱🇨,
12467,Wed Oct 19 01:40:44 +0000 2011,_Jack246,Monkey pox + UV radiation finna have the states jumping 😂,https://twitter.com/_Jack246/status/1527055272166014978,with other Jack,
12468,Wed Oct 19 02:55:51 +0000 2011,Caraboo900,Apparently 6 states are more likely to get more monkey pox cases and WISCONSIN IS ONE OF THEM 😭,https://twitter.com/Caraboo900/status/1527784700814712833,Wisconsin,
12469,Wed Oct 19 06:31:01 +0000 2016,Fayism_,Didn’t they throw monkey pox at us last year?????????? Know I’m not trippin,https://twitter.com/Fayism_/status/1527357807955103755,Houston,
12470,Wed Oct 19 09:01:32 +0000 2011,BritishHIVAssoc,"🚨BHIVA rapid statement on monkeypox virus🚨

7 cases of monkeypox have been reported in the UK, see the full BHIVA statement here: https://t.co/T28RoEMWix https://t.co/WaAyqJjsNv",https://twitter.com/BritishHIVAssoc/status/1526616417017155585,United Kingdom,
12471,Wed Oct 19 20:54:58 +0000 2011,AwesomeJassim,"So much FUD pump.  Now monkey pox, wheat problem, just say it’s over.  Short everything. https://t.co/fvaCU9Vz6Q",https://twitter.com/AwesomeJassim/status/1528106467785687045,,
12472,Wed Oct 19 21:48:57 +0000 2011,carol53bet,"Ain’t taking the monkey pox  💉 .
I don’t trust pharma!",https://twitter.com/carol53bet/status/1527763039105306625,In the Middle of Nowhere.,
12473,Wed Oct 20 01:13:17 +0000 2021,Rainbow04449569,Looks like it's going to be a monkey pox kind of election🤣🤣🤣🤣🤣,https://twitter.com/Rainbow04449569/status/1527046081841926146,,
12474,Wed Oct 20 07:41:44 +0000 2010,MevrouS,I wonder how they’ll promote the #MoneyPox vaccine. Should we still get vaccinated to get back to our normal lives?🤔,https://twitter.com/MevrouS/status/1527758415921090560,Namibia,MoneyPox
12475,Wed Oct 20 12:31:31 +0000 2010,Basil0001,What the fuck is monkey pox??? After the way the last couple of years have gone we all joked about what's due next but fucking monkey pox? Can you imagine being killed by a virus named monkey pox lmao. No thank you,https://twitter.com/Basil0001/status/1527382019755233291,"Milton Keynes, England",
12476,Wed Oct 20 13:54:22 +0000 2021,confusedteacups,@KingsNwachuku @TorresNaelson @chadloveschina @Mad_Steph @LopesInsights @BBCWorld How did monkey pox cross from monkeys to male African men? How did it then spread to other men?,https://twitter.com/confusedteacups/status/1528097223195643908,Scotland,
12477,Wed Oct 20 16:38:02 +0000 2010,defuniack,@FordJohnathan5 Wtf is Monkey pox?,https://twitter.com/defuniack/status/1527067705609596929,Coarsegold Ca.,
12478,Wed Oct 20 18:43:57 +0000 2021,jonJon31882874,@CNBC I wonder if all these people with monkey pox got the covid vaccine,https://twitter.com/jonJon31882874/status/1527765436724658178,,
12479,Wed Oct 20 21:50:46 +0000 2021,irina_vanpatten,"@RonFilipkowski It was easy for the right to dismiss COVID bc it's an invisible disease. You can't easily detect it in people, esp if they don't exhibit symptoms. But monkey pox is visible. I wonder how long will the right get away with denying it? Is MTG going to shake hands with an infected?",https://twitter.com/irina_vanpatten/status/1527758862438109184,Seattle,
12480,Wed Oct 20 23:34:07 +0000 2021,monetsupremacy_,A man in Massachusetts has moneypox … k*ll him … like deadass rn!!!,https://twitter.com/monetsupremacy_/status/1527055247293784068,,
12481,Wed Oct 21 03:26:16 +0000 2020,g_l_o_o_m_i_e,The maddening thing about this monkey pox thing is people are acting like we still aren't in a pandemic from COVID 😂,https://twitter.com/g_l_o_o_m_i_e/status/1527762272055005184,,
12482,Wed Oct 21 08:43:54 +0000 2009,chrischirp,interesting thread on Monkey Pox in England and how UKHSA have identified a new form of transmission not seen before... https://t.co/pH9jrwj6zF,https://twitter.com/chrischirp/status/1526521210594643968,,
12483,Wed Oct 21 15:09:59 +0000 2020,royalc_n,"I just watched the 9:30 news highlights on @France24_en and the said it spreads fast amongst Homosexual, so now who's the LGBTQ+i affecting?
I just know that this is a form of tactical racism against african states. 
Monkey pox starting in the canada https://t.co/5S1SNuP8wV",https://twitter.com/royalc_n/status/1527387020925882368,Nigeria,
12484,Wed Oct 21 16:23:08 +0000 2020,dagirlsluvamari,"MONKEY POX?????? jesus, it's time.",https://twitter.com/dagirlsluvamari/status/1527766170610409474,blooming.🌸,
12485,Wed Oct 21 17:38:00 +0000 2020,JosieVillasaez,What is a Loudermilk? Or a monkey pox 😳,https://twitter.com/JosieVillasaez/status/1527382061660524553,"Phoenix, AZ",
12486,Wed Oct 21 18:26:41 +0000 2020,ArtfulCodger2,"If they want me to be afraid of the next ""plague"", they should not have called it ""monkey pox"".",https://twitter.com/ArtfulCodger2/status/1527071585613406211,Gobblers Knob,
12487,Wed Oct 21 20:18:19 +0000 2015,pkapauline1,@B52Malmet Now monkey pox is spreading in Europe,https://twitter.com/pkapauline1/status/1527758154724933636,,
12488,Wed Oct 22 03:14:00 +0000 2014,Paul_Panchyshyn,"Who wants to join me in denouncing monkey pox as a hoax? There's no such thing as a global pandemic of unspeakable horrors, right?",https://twitter.com/Paul_Panchyshyn/status/1527434054022225921,Winnipeg Manitoba,
12489,Wed Oct 22 10:07:10 +0000 2008,xoErikaDanielle,now I gotta worry about covid and monkey pox smh,https://twitter.com/xoErikaDanielle/status/1527417124360097793,Calif☼rnia,
12490,Wed Oct 23 02:55:21 +0000 2019,nokilhot,@JaredDapena bUt MoNkEy PoX,https://twitter.com/nokilhot/status/1527438350503796754,Canada,
12491,Wed Oct 23 11:01:01 +0000 2013,UP19755,@osmosis8989 Pfizer will be rolling out the Monkey Pox vaccine next week !,https://twitter.com/UP19755/status/1526626653815939073,London,
12492,Wed Oct 24 02:28:32 +0000 2012,cam6499,Check out TrinityChavez's video! #TikTok https://t.co/BAfStTcRLO Monkey pox,https://twitter.com/cam6499/status/1527794276066906113,,TikTok
12493,Wed Oct 24 06:43:53 +0000 2018,broomsticknpen,@acbarton08 @B4Btv Also governments downplayed the danger by trying to make it look like only certain groups get seriously ill from Covid when it’s not true. They’ve already started that with monkey pox.,https://twitter.com/broomsticknpen/status/1527438456095674368,日本,
12494,Wed Oct 24 23:23:13 +0000 2018,helloits_Adele,"Keep this in mind as the ""monkey pox"" narrative starts to be amplified. 
Bavarian Nordic scores FDA nod for smallpox and monkeypox vaccine Jynneos | Fierce Pharma https://t.co/Y72ksuCVOu",https://twitter.com/helloits_Adele/status/1527413487978303495,,
12495,Wed Oct 25 21:39:03 +0000 2017,TIANOVEMBER,i don’t even want to know what monkey pox is.,https://twitter.com/TIANOVEMBER/status/1526708129387405312,"London, England",
12496,Wed Oct 26 02:03:32 +0000 2011,kevbino2,Not coming from the dude who looks like he is patient zero for monkey pox https://t.co/RHHwQhdwzt,https://twitter.com/kevbino2/status/1526307792994418688,Haunted House w/a Picket fence,
12497,Wed Oct 26 12:24:58 +0000 2011,DaveLewis12,"@charmiddle @metpoliceuk Bite a copper, take what's coming! Officer now has to go to hospital to get checked out &amp; his family worry for weeks. Hepatitis, HIV, Tuberculosis, etc. Even possibly Monkey Pox..",https://twitter.com/DaveLewis12/status/1525902403446489091,Wales (not U.K.),
